#{"t_start": 1626962665.03672, "env_id": "fertilization-v0"}
r,l,t
-1417.775853,30,662.356627
-1665.284906,30,663.291287
-1523.535478,30,664.232011
-1637.440109,30,665.200525
-1655.677104,30,666.155331
-930.545137,30,667.111253
-1479.085441,30,668.058215
-1486.541668,30,669.001416
-1234.440764,30,669.971745
-1802.567091,30,670.955117
-999.453861,30,671.905893
-1585.896322,30,672.932143
-1711.707777,30,673.895986
-1525.575546,30,674.870483
-1714.183097,30,675.854348
-1250.545137,30,676.808005
-1037.49344,30,677.74796
-977.49344,30,678.764226
-1391.096615,30,679.700853
-1551.096615,30,680.824674
-1445.575546,30,681.728909
-1230.658803,30,682.612107
-1177.391289,30,683.506343
-929.930844,30,684.392374
-1734.573008,30,685.287063
-859.05529,30,686.196744
-1688.273176,30,687.135915
-1547.173278,30,688.03458
-1546.977954,30,688.925003
-2126.977954,30,689.846003
-1430.262734,30,690.914918
-959.05529,30,692.386917
-1264.146163,30,693.907972
-741.000302,30,694.804612
-1334.183097,30,695.693818
-1102.296037,30,696.599554
-1350.545137,30,697.670756
-1163.837079,30,699.264263
-1338.362926,30,700.189006
-1177.985158,30,701.111609
-994.919635,30,701.99824
-958.102334,30,702.881545
-1463.584284,30,703.800994
-1337.775853,30,704.682807
-1714.84915,30,705.599345
-1090.545137,30,706.476479
-1193.759279,30,707.353851
-1562.296037,30,708.229172
-1509.251879,30,709.184774
-1070.379496,30,710.090198
-912.470593,30,710.96494
-1452.091657,30,711.841127
-1425.84857,30,712.719096
-1159.851484,30,713.785979
-1502.567091,30,714.670438
-1335.603918,30,715.569118
-1389.439123,30,716.49842
-1109.930844,30,717.415534
-909.783121,30,718.300499
-1600.0,30,719.216498
-1359.453861,30,720.154713
-1909.87964,30,721.091715
-1489.219075,30,722.027871
-1589.526613,30,722.911375
-1196.543956,30,723.791182
-1092.105619,30,724.672007
-1228.162946,30,725.572276
-1086.316483,30,726.508906
-1198.433686,30,727.449321
-1327.320436,30,728.40181
-1418.102334,30,729.34927
-1599.851484,30,730.288211
-1244.961548,30,731.203016
-1165.156813,30,732.111704
-949.887478,30,732.994697
-1558.900471,30,733.883679
-1914.183097,30,734.768065
-1122.920727,30,735.651318
-1774.84915,30,736.679144
-1324.146163,30,738.028841
-1487.110038,30,739.179133
-1316.213436,30,740.735296
-1008.343899,30,742.292911
-1298.232848,30,743.350192
-1627.9717,30,744.25252
-1377.85261,30,745.151715
-1849.251879,30,746.036723
-1172.480975,30,747.110213
-1047.110038,30,747.997978
-1761.536979,30,748.880158
-1139.453861,30,749.759739
-851.920168,30,750.644429
-1446.101507,30,751.531298
-1105.006135,30,752.414857
-1030.658803,30,753.298882
-1767.173278,30,754.179816
-1380.0,30,755.096071
-1139.867949,30,756.034508
-1097.357052,30,756.972549
-824.961548,30,757.907851
-1469.451723,30,758.849419
-1171.162645,30,759.787264
-1445.111795,30,760.726108
-1325.553577,30,761.663709
-980.546971,30,762.599477
-956.842813,30,763.53727
-1847.173278,30,764.479694
-1518.900471,30,765.420059
-1190.262734,30,766.358924
-1257.49344,30,767.294409
-1585.84857,30,768.228889
-1180.871143,30,769.170119
-1512.811425,30,770.105449
-1383.690233,30,771.04734
-1306.8649,30,771.985845
-1257.762676,30,772.926938
-1352.480975,30,773.867342
-1231.035297,30,774.805928
-985.771067,30,775.754315
-1552.006391,30,776.691353
-966.860209,30,777.628625
-1366.844882,30,778.570489
-1476.543956,30,779.658878
-1447.184101,30,780.542761
-1173.185396,30,781.431823
-1905.284906,30,782.326391
-1323.222989,30,783.211734
-1412.105619,30,784.094217
-1150.562533,30,784.987494
-1332.006391,30,785.871097
-850.051157,30,786.757596
-1333.969897,30,787.644497
-2043.78546,30,788.53394
-979.867949,30,789.417787
-1463.535478,30,790.317486
-1248.166039,30,791.203733
-1302.551183,30,792.098412
-960.546971,30,793.02419
-1150.379496,30,794.074508
-1164.146163,30,795.286658
-1050.410602,30,796.454503
-1074.440764,30,797.492139
-1382.567091,30,798.582493
-1165.006135,30,799.673779
-1010.289951,30,800.628475
-1499.851484,30,801.544877
-1772.938437,30,802.753334
-1438.900471,30,803.706566
-1539.345608,30,804.658419
-1226.708774,30,805.609526
-1066.541668,30,806.552312
-1487.470424,30,807.492514
-1418.232848,30,808.455878
-1609.451723,30,809.405594
-1565.909862,30,810.356617
-1289.251879,30,811.247263
-1111.566985,30,812.340557
-1129.887478,30,813.22806
-1625.342196,30,814.11235
-1443.78546,30,814.999843
-1483.720177,30,815.882532
-1361.623308,30,816.761134
-1086.101507,30,817.645285
-1363.584284,30,818.538779
-1434.919635,30,819.416365
-1597.391289,30,820.295436
-1178.900471,30,821.178498
-1028.383835,30,822.05823
-822.927371,30,822.938774
-1966.013893,30,823.81692
-1312.470593,30,824.692092
-1275.677104,30,825.572106
-1338.217572,30,826.463504
-1608.273176,30,827.372664
-1438.217572,30,828.299268
-970.545137,30,829.220885
-1760.430865,30,830.139402
-1112.504198,30,831.094723
-976.006478,30,832.041494
-1114.293895,30,832.965934
-672.480975,30,833.881044
-1417.440109,30,834.799
-1357.052545,30,835.702294
-1845.896322,30,836.624763
-1035.07854,30,837.559817
-1865.284906,30,838.487365
-1003.535362,30,839.432961
-1283.535362,30,840.386364
-1513.469164,30,841.325585
-1469.87964,30,842.263948
-1473.180988,30,843.376949
-1004.997371,30,844.274003
-1626.241841,30,845.218306
-1026.101507,30,846.182527
-1303.121609,30,847.102698
-1388.264697,30,848.007449
-1618.102334,30,848.91881
-1424.732262,30,849.804585
-1343.720177,30,850.686302
-1078.217572,30,851.569962
-1293.185396,30,852.447607
-1083.720177,30,853.329108
-1380.0,30,854.209729
-1405.111795,30,855.11005
-1340.430865,30,856.052464
-1495.677104,30,857.005912
-1325.84857,30,857.952393
-977.278577,30,858.898525
-1216.503408,30,859.821521
-1024.27478,30,860.891342
-672.064077,30,861.797808
-1064.023501,30,862.703551
-965.006135,30,863.599709
-1376.213436,30,864.482309
-1885.909862,30,865.360853
-1012.504198,30,866.242742
-1406.998912,30,867.122315
-1208.716126,30,868.004682
-1282.551183,30,868.893343
-1326.210474,30,869.768099
-1477.391289,30,870.650624
-1588.433445,30,871.526294
-1031.707777,30,872.401992
-1353.597708,30,873.280186
-1394.293895,30,874.350324
-1827.648793,30,875.235135
-1019.296445,30,876.116801
-1287.712533,30,877.000598
-617.49344,30,877.8823
-1287.124547,30,878.767048
-946.210474,30,879.70319
-886.316483,30,880.637206
-1568.273176,30,881.572597
-1365.323484,30,882.520504
-1353.759279,30,883.482981
-1705.521966,30,884.366381
-1281.494182,30,885.280015
-1649.675957,30,886.170596
-1675.813653,30,887.06506
-1055.700439,30,887.951114
-962.551183,30,888.957314
-1202.551183,30,889.841308
-1248.105422,30,890.723052
-1605.84857,30,891.657057
-1195.603918,30,892.684454
-1101.471814,30,893.784789
-1305.896322,30,894.725673
-1747.460782,30,895.669516
-1078.102334,30,896.610052
-1554.293895,30,897.550244
-1569.596892,30,898.486119
-1585.641728,30,899.423055
-1234.350045,30,900.357367
-888.716126,30,901.290274
-1526.844882,30,902.218768
-1148.433445,30,903.162644
-832.612754,30,904.114589
-1165.140855,30,905.071465
-1560.0,30,906.287106
-1132.064077,30,907.178003
-949.219075,30,908.075519
-1416.050101,30,908.972236
-1306.241841,30,909.861932
-1199.851484,30,910.757678
-1317.985158,30,911.65504
-727.384539,30,912.547812
-1400.319308,30,913.440866
-1530.432499,30,914.333647
-1002.40399,30,915.247321
-1022.452015,30,916.166372
-977.391289,30,917.065137
-1327.470424,30,917.967486
-1435.677104,30,918.868545
-941.000302,30,919.802803
-1235.813653,30,920.703768
-1159.05529,30,921.596567
-1322.179001,30,922.48462
-713.185396,30,923.383258
-1625.641728,30,924.273822
-854.350045,30,925.1677
-1341.179392,30,926.075081
-1249.783121,30,926.972143
-1673.180988,30,927.85565
-1158.900471,30,928.752761
-1485.909862,30,929.646752
-1427.801863,30,930.566746
-1190.262734,30,931.47858
-1083.222989,30,932.373525
-864.27478,30,933.311074
-1426.977954,30,934.269152
-1361.536979,30,935.35919
-1454.350045,30,936.358058
-1341.623308,30,937.463186
-1225.575546,30,938.370106
-1944.01876,30,939.285091
-1186.316483,30,940.200752
-1372.064077,30,941.095442
-814.035478,30,941.988389
-1545.909862,30,942.913731
-1096.719908,30,943.819702
-1441.401007,30,944.721566
-1088.916754,30,945.612634
-710.545137,30,946.496738
-868.916754,30,947.386964
-944.961548,30,948.335601
-1168.952963,30,949.290627
-532.064077,30,950.234658
-741.000302,30,951.17724
-1213.597708,30,952.129775
-800.871143,30,953.07886
-1212.613609,30,954.031144
-980.538358,30,954.983604
-1076.842813,30,955.925507
-1450.289951,30,956.899179
-1447.470424,30,957.857646
-1144.023501,30,958.876797
-1601.536979,30,959.837977
-767.110038,30,960.798252
-836.842813,30,961.691586
-1316.423566,30,962.822526
-1426.013893,30,963.725944
-1547.9717,30,964.627975
-1204.146163,30,965.528067
-1109.596892,30,966.45541
-1320.0,30,967.369542
-1363.66276,30,968.270642
-973.185396,30,969.406643
-1727.173278,30,970.309088
-474.929642,30,971.205378
-1049.439123,30,972.118074
-613.759279,30,973.017508
-1224.700012,30,973.913529
-828.716126,30,974.80928
-962.40399,30,975.7006
-1219.296445,30,976.621594
-1045.323484,30,977.567605
-993.185396,30,978.526584
-816.842813,30,979.49701
-1182.551183,30,980.452121
-1277.652527,30,981.410892
-952.105619,30,982.364121
-1236.050101,30,983.311237
-674.758887,30,984.261074
-1055.603918,30,985.208996
-779.345608,30,986.162339
-1586.241841,30,987.11095
-854.350045,30,988.059186
-1286.977954,30,989.009522
-1258.900471,30,989.948224
-1419.851484,30,990.898119
-1285.006135,30,991.868405
-938.362926,30,992.859638
-1515.214379,30,993.849155
-934.440764,30,994.79429
-1349.251879,30,995.761996
-928.343899,30,996.862659
-1058.702807,30,997.910986
-1028.105422,30,998.968041
-790.943662,30,999.925972
-1336.006478,30,1000.855096
-1527.460782,30,1001.763899
-756.423566,30,1002.882615
-1363.66276,30,1003.85081
-824.961548,30,1004.736811
-794.758887,30,1005.65915
-1314.293895,30,1006.578243
-1278.362926,30,1007.505707
-1472.091657,30,1008.392424
-1508.273176,30,1009.273755
-750.562533,30,1010.158513
-1265.575546,30,1011.106618
-860.538358,30,1012.032044
-1287.470424,30,1012.938224
-1145.521966,30,1013.847625
-573.759279,30,1014.768468
-1105.006135,30,1015.669673
-1101.623308,30,1016.587868
-1336.423566,30,1017.494483
-1265.111795,30,1018.412093
-1528.162946,30,1019.35251
-1345.323484,30,1020.259024
-1346.998912,30,1021.197429
-1478.102334,30,1022.112043
-882.551183,30,1023.014364
-657.407221,30,1023.907121
-1176.006478,30,1024.816157
-791.035297,30,1025.732428
-1546.708774,30,1026.647815
-1345.521966,30,1027.563503
-1602.567091,30,1028.467853
-736.719908,30,1029.358643
-1022.551183,30,1030.261234
-1282.50132,30,1031.153316
-1028.716126,30,1032.075238
-1308.273176,30,1033.147342
-612.504198,30,1034.25672
-829.219075,30,1035.167665
-823.66276,30,1036.065452
-1045.140855,30,1036.967287
-1061.471814,30,1037.915363
-988.105422,30,1038.98299
-1115.170514,30,1039.896731
-1029.596892,30,1040.831505
-1201.494182,30,1041.767448
-1319.867949,30,1042.748434
-1037.391289,30,1043.671179
-1540.0,30,1044.617298
-868.383835,30,1045.505341
-991.162645,30,1046.383133
-1137.391289,30,1047.351359
-1411.566985,30,1048.310625
-1012.811425,30,1049.370875
-770.545137,30,1050.368395
-718.177313,30,1051.416837
-1173.469164,30,1052.587256
-1074.573008,30,1053.667737
-610.545137,30,1054.666687
-944.146163,30,1055.661759
-896.842813,30,1056.622546
-864.700012,30,1057.588864
-1307.695729,30,1058.561189
-978.433686,30,1059.534026
-902.551183,30,1060.510391
-745.006135,30,1061.431727
-1064.023501,30,1062.325115
-1235.603918,30,1063.317998
-1547.124547,30,1064.391716
-1166.541668,30,1065.466018
-1260.755589,30,1066.498383
-1108.273176,30,1067.763861
-767.470424,30,1068.752439
-1092.470593,30,1069.881359
-1218.433686,30,1070.774205
-1180.635192,30,1071.693139
-1212.470593,30,1072.568404
-531.566985,30,1073.449491
